tree_id,site,status,health,root_stone,latitude,longitude
693542,Nearby,Alive,Good,No,<40.63000,<-74.07000
359021,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
135718,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
99271,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
100744,Front,Alive,Good,No,<40.63000,<-74.07000
210257,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
179676,Nearby,Alive,Good,Yes,40.63000...40.76000,<-74.07000
141631,Front,Alive,Fair,No,<40.63000,>-73.89000
158982,Nearby,Alive,Good,No,<40.63000,<-74.07000
209152,Nearby,Alive,Good,No,<40.63000,<-74.07000
91564,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
645718,Front,Alive,Good,No,<40.63000,<-74.07000
161861,Front,Alive,Good,No,>40.76000,>-73.89000
597138,Side,Alive,Good,No,<40.63000,<-74.07000
283923,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
715684,Nearby,Alive,Good,No,>40.76000,>-73.89000
346200,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
677351,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
371165,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
104756,Front,Alive,Good,No,>40.76000,>-73.89000
202913,Front,Alive,Good,No,<40.63000,<-74.07000
405412,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
290021,Front,Alive,Good,No,<40.63000,<-74.07000
299322,Side,Alive,Poor,Yes,40.63000...40.76000,-74.07000...-73.89000
59424,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
48984,Nearby,Alive,Fair,Yes,40.63000...40.76000,-74.07000...-73.89000
667053,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
701976,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
207159,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
26965,Nearby,Stump,Stump,No,40.63000...40.76000,>-73.89000
134397,Nearby,Alive,Good,No,>40.76000,>-73.89000
571892,Front,Alive,Good,No,<40.63000,<-74.07000
527949,Front,Alive,Poor,No,<40.63000,>-73.89000
400641,Front,Alive,Good,No,<40.63000,<-74.07000
368200,Front,Alive,Good,No,>40.76000,>-73.89000
425904,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
583380,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
68645,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
649055,Front,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
184372,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
308384,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
571308,Front,Alive,Good,Yes,>40.76000,>-73.89000
