site,status,health,root_stone,latitude,longitude,,
Rear,Alive,Good,No,40.60256191,-73.74795313,,
Front,Alive,Fair,No,40.78340041,-73.97695338,,
Across,Alive,Good,No,40.79090333,-73.83904533,,
Front,Alive,Good,No,40.71917449,-73.75119602,,
Front,Alive,Good,No,40.65461657,-73.84786798,,
Assigned/Side,Alive,Good,No,40.61608001,-73.96880643,,
Front,Alive,Good,No,40.66753768,-73.9608877,,
Assigned,Alive,Good,No,40.63603163,-73.96933136,,
Front,Alive,Good,Yes,40.76179538,-73.79146197,,
Front,Alive,Good,No,40.63416479,-74.13495421,,
Front,Alive,Fair,No,40.65296231,-73.73070629,,
Front,Alive,Poor,No,40.77157429,-73.8309775,,
Front,Alive,Good,Yes,40.78290059,-73.81874852,,
Front,Alive,Good,No,40.63862317,-73.96526057,,
Front,Alive,Fair,No,40.59765298,-73.79366571,,
Front,Alive,Good,No,40.76589723,-73.76337507,,
Front,Alive,Good,Yes,40.73496344,-73.91852455,,
Side,Alive,Good,No,40.80768759,-73.85099735,,
Side,Alive,Good,No,40.63935571,-73.91879764,,
Assigned,Alive,Good,No,40.76554672,-73.93243521,,
Front,Alive,Good,No,40.74310371,-73.81752008,,
Adjacent,Alive,Fair,No,40.82672923,-73.81589786,,
Front,Alive,Good,Yes,40.60811622,-73.91345555,,
Front,Alive,Good,No,40.51595893,-74.19622016,,
Adjacent,Alive,Good,No,40.5844056,-74.09833468,,
Adjacent,Alive,Good,Yes,40.64454344,-74.01836187,,
Side,Alive,Good,No,40.84005319,-73.84747654,,
Side,Alive,Good,No,40.66473426,-73.87663012,,
Front,Alive,Good,Yes,40.76194026,-73.91981895,,
Front,Alive,Good,No,40.65886995,-73.885213,,
Across,Alive,Good,Yes,40.71976749,-73.99706864,,
Front,Alive,Good,No,40.67546812,-73.99929655,,
Front,Alive,Good,No,40.75665001,-73.88739785,,
Front,Alive,Good,Yes,40.70041833,-73.95144709,,
Front,Alive,Good,No,40.83221007,-73.89472694,,
Front,Alive,Fair,No,40.81124517,-73.85793949,,
Front,Alive,Good,No,40.60668154,-73.99998006,,
Side,Alive,Fair,No,40.83509803,-73.92655233,,
Side,Alive,Good,No,40.70744062,-74.00768779,,
Side,Alive,Good,Yes,40.72662305,-73.89646943,,
Front,Alive,Good,Yes,40.74982235,-73.90022263,,
Adjacent,Alive,Good,Yes,40.87491797,-73.86578252,,
Side,Alive,Poor,No,40.81630213,-73.86753879,,
Front,Stump,Stump,No,40.68263225,-73.87392268,,
Front,Alive,Fair,No,40.67905649,-73.92181208,,
Front,Alive,Good,Yes,40.7509731,-73.78952657,,
Front,Alive,Good,No,40.90213823,-73.84164633,,
Front,Alive,Good,No,40.67344658,-73.80276052,,
Front,Alive,Good,No,40.70556412,-73.86563279,,
Front,Alive,Good,No,40.74660087,-73.77429618,,
Across,Alive,Good,No,40.83589274,-73.8402521,,
Across,Alive,Good,Yes,40.68566509,-73.76152746,,
Side,Alive,Good,No,40.68207819,-73.83158571,,
Front,Alive,Good,No,40.61627053,-74.09023233,,
Adjacent,Alive,Good,No,40.69581816,-73.75684799,,
Adjacent,Alive,Good,No,40.68656224,-73.80512057,,
Adjacent,Alive,Good,No,40.53366086,-74.20678056,,
Front,Alive,Poor,No,40.64413891,-74.07964895,,
Front,Alive,Good,No,40.85404439,-73.8492187,,
Front,Alive,Good,No,40.73702676,-73.8987966,,
Front,Alive,Good,Yes,40.69219198,-73.945743,,
Side,Alive,Fair,No,40.58696741,-73.99198002,,
Front,Alive,Fair,No,40.62015097,-73.97565933,,
Side,Alive,Fair,No,40.72430617,-74.00203582,,
Front,Stump,Stump,No,40.66988592,-73.76060185,,
Assigned,Alive,Good,No,40.74952593,-73.88434587,,
Front,Dead,Dead,No,40.6479739,-73.92808963,,
Front,Alive,Fair,No,40.7593783,-73.88233551,,
Front,Alive,Good,Yes,40.78054335,-73.96127536,,
Front,Alive,Good,Yes,40.63024442,-74.08287824,,
Front,Alive,Poor,Yes,40.71075962,-73.89950353,,
Adjacent,Alive,Poor,No,40.62449285,-74.10988166,,
Front,Alive,Fair,Yes,40.70653733,-73.90838788,,
Side,Alive,Good,No,40.72833187,-74.00195772,,
Front,Alive,Good,No,40.60621245,-73.94488383,,
Front,Alive,Good,No,40.61682475,-74.14611796,,
Assigned,Alive,Good,No,40.70238651,-73.87446009,,
Front,Alive,Fair,No,40.66111251,-73.76470593,,
Assigned,Alive,Good,No,40.53127359,-74.19228236,,
Front,Alive,Good,No,40.62575416,-73.94763773,,
Front,Alive,Good,No,40.61431971,-74.08466765,,
Front,Alive,Good,Yes,40.66672939,-73.93959009,,
Front,Alive,Good,Yes,40.72953167,-73.85025016,,
Across,Stump,Stump,No,40.66125772,-73.91434019,,
Front,Alive,Good,No,40.62709878,-74.13873007,,
Front,Alive,Fair,Yes,40.70130444,-73.90244872,,
Adjacent,Alive,Good,No,40.67992284,-73.9993968,,
Across,Dead,Dead,No,40.74953073,-73.75828267,,
Front,Alive,Fair,No,40.66795597,-73.88197267,,
Front,Alive,Good,Yes,40.76297316,-73.87060949,,
Adjacent,Stump,Stump,No,40.72878777,-73.89548591,,
Front,Alive,Good,No,40.75457828,-73.96601516,,
Adjacent,Alive,Good,Yes,40.69161899,-73.81224488,,
Front,Alive,Good,No,40.67812558,-73.99886914,,
Front,Alive,Good,No,40.86107908,-73.90775059,,
Front,Alive,Good,No,40.57912529,-73.84493838,,
Side,Alive,Good,Yes,40.68860979,-73.99413773,,
Adjacent,Alive,Good,No,40.71660822,-73.98859257,,
Front,Alive,Good,No,40.62111547,-73.93285628,,
Front,Alive,Good,No,40.69492503,-73.93391209,,
Side,Alive,Good,No,40.57464507,-73.96975795,,
Front,Alive,Fair,No,40.84749772,-73.7866901,,
Side,Alive,Good,No,40.80718295,-73.93994272,,
Front,Alive,Good,No,40.76220232,-73.78643409,,
Across,Alive,Fair,No,40.53240726,-74.16048873,,
Front,Alive,Good,No,40.88462115,-73.90534272,,
Across,Alive,Good,No,40.66487641,-73.88251005,,
Front,Alive,Good,No,40.61983666,-73.90294585,,
Front,Dead,Dead,No,40.91111063,-73.90585896,,
Side,Alive,Good,No,40.50732069,-74.2490353,,
Front,Dead,Dead,No,40.58012121,-74.10275547,,
Front,Alive,Fair,No,40.64723044,-73.91763339,,
Across,Alive,Good,No,40.53606933,-74.20816543,,
Front,Alive,Good,Yes,40.71209907,-73.83283133,,
Front,Alive,Good,Yes,40.73467201,-73.79996254,,
Across,Alive,Good,No,40.6919362,-73.99347039,,
Front,Alive,Good,No,40.57224035,-74.1001228,,
Adjacent,Alive,Good,No,40.72221435,-73.94967798,,
Across,Alive,Good,Yes,40.63329587,-74.15621213,,
Front,Alive,Fair,No,40.57277444,-73.85575572,,
Median,Alive,Good,No,40.59342357,-74.07545831,,
Adjacent,Alive,Good,No,40.55236155,-74.15207743,,
Front,Alive,Good,No,40.68878624,-73.85394105,,
Front,Alive,Good,No,40.5063359,-74.25153347,,
Front,Alive,Good,No,40.78903509,-73.79484839,,
Side,Alive,Good,No,40.51813779,-74.23945747,,
Front,Alive,Good,No,40.70474604,-73.80327925,,
Across,Alive,Good,No,40.83428946,-73.87170025,,
Front,Alive,Good,No,40.71056341,-73.87181629,,
Front,Alive,Good,No,40.65876051,-73.74061405,,
Front,Alive,Good,No,40.73115774,-73.9587057,,
Front,Alive,Good,No,40.76153048,-73.78101643,,
Front,Alive,Good,No,40.54068222,-74.18971727,,
Front,Alive,Good,Yes,40.72799452,-73.85056934,,
Front,Alive,Good,No,40.50189046,-74.24728057,,
Side,Alive,Poor,Yes,40.70087216,-73.90384071,,
Front,Alive,Good,No,40.64665892,-74.01430527,,
Adjacent,Alive,Fair,Yes,40.69293747,-73.91858987,,
Front,Alive,Good,Yes,40.6629627,-73.9172039,,
Side,Alive,Good,No,40.74107893,-73.85547059,,
Front,Alive,Good,Yes,40.73121403,-73.86047981,,
Assigned,Stump,Stump,No,40.70327219,-73.73600385,,
Across,Alive,Good,No,40.871783,-73.88616205,,
Front,Alive,Good,No,40.50341976,-74.23927944,,
Front,Alive,Poor,No,40.60238751,-73.74953278,,
Front,Alive,Good,No,40.53854695,-74.20911575,,
Front,Alive,Good,No,40.7776372,-73.74780355,,
Front,Alive,Fair,No,40.68494347,-73.91766299,,
Front,Alive,Good,No,40.66987929,-73.97231664,,
Front,Alive,Good,No,40.7480418,-73.77484867,,
Front,Alive,Good,Yes,40.84762172,-73.89357779,,
Front,Alive,Good,No,40.74257318,-73.91573933,,
Side,Alive,Good,No,40.68119412,-73.96058983,,
Front,Alive,Good,Yes,40.9063302,-73.85135945,,
Front,Alive,Poor,Yes,40.70259553,-73.82047497,,
Front,Alive,Good,No,40.63343643,-74.13800442,,
Front,Alive,Good,Yes,40.71276658,-73.77678277,,
Front,Alive,Good,No,40.68543564,-73.95777301,,
Front,Stump,Stump,No,40.72782079,-73.71934889,,
Front,Alive,Poor,No,40.79771713,-73.93531055,,
Front,Alive,Good,No,40.68838579,-73.91033382,,
Front,Stump,Stump,No,40.74904074,-73.97804149,,
Front,Alive,Good,No,40.63261695,-74.10515836,,
Front,Alive,Good,No,40.74163215,-74.00895802,,
Front,Alive,Good,No,40.69663191,-73.73899686,,
Front,Alive,Good,No,40.65037929,-73.97827493,,
Side,Alive,Good,No,40.55418079,-74.17847584,,
Adjacent,Alive,Good,No,40.70083411,-73.93555133,,
Adjacent,Alive,Good,Yes,40.82335426,-73.91619075,,
Adjacent,Alive,Good,No,40.69703536,-73.77120422,,
Front,Alive,Good,No,40.7309348,-73.79019063,,
Side,Alive,Good,Yes,40.55170867,-74.19209387,,
Front,Alive,Poor,No,40.66044746,-73.9102398,,
Front,Alive,Good,No,40.77449582,-73.79948032,,
Front,Stump,Stump,No,40.65798165,-73.91683941,,
Side,Alive,Good,No,40.6562261,-73.87210042,,
Front,Alive,Good,No,40.69869212,-73.99473141,,
Adjacent,Alive,Good,No,40.82874108,-73.88213868,,
Adjacent,Alive,Poor,No,40.76638585,-73.9549238,,
Side,Alive,Good,Yes,40.6298951,-74.10025771,,
Across,Alive,Good,Yes,40.80241066,-73.96648706,,
Front,Alive,Good,No,40.75848965,-73.91614955,,
Median,Alive,Good,No,40.6286092,-73.89218905,,
Front,Alive,Good,No,40.76282045,-73.82571899,,
Side,Alive,Good,No,40.68586377,-73.9400835,,
Across,Alive,Good,No,40.75933045,-74.00295471,,
Across,Alive,Good,No,40.84672752,-73.91196347,,
Adjacent,Alive,Good,Yes,40.62521012,-73.96164402,,
Front,Alive,Good,No,40.62662358,-73.92877884,,
Front,Alive,Good,No,40.66866929,-73.79090471,,
Assigned,Alive,Poor,No,40.73042218,-73.77878385,,
Front,Stump,Stump,No,40.72492739,-73.89193955,,
Assigned,Alive,Good,No,40.76125665,-73.77750363,,
Front,Alive,Good,No,40.67819207,-73.79017862,,
Across,Alive,Fair,No,40.5721641,-73.85964121,,
Across,Alive,Poor,No,40.66922143,-73.87856486,,
Front,Alive,Good,Yes,40.70974681,-73.78728509,,
Front,Alive,Fair,No,40.67648409,-73.99279838,,
Side,Alive,Good,No,40.82838449,-73.87824174,,
Front,Alive,Good,No,40.70347295,-73.94777473,,
Adjacent,Alive,Fair,No,40.70089543,-73.92248992,,
Front,Alive,Good,No,40.66424717,-73.87984299,,
Front,Alive,Good,No,40.53667815,-74.1931607,,
Front,Alive,Good,Yes,40.74216902,-73.88074605,,
Across,Alive,Good,Yes,40.67166037,-73.93546564,,
Front,Alive,Good,No,40.71143818,-73.89588246,,
Adjacent,Alive,Poor,No,40.61969849,-74.16795134,,
Side,Alive,Good,No,40.72494296,-73.88146296,,
Front,Alive,Good,No,40.5871339,-73.96581318,,
Front,Alive,Good,Yes,40.72531921,-73.87002577,,
Front,Alive,Good,Yes,40.63308951,-73.98325289,,
Front,Alive,Good,No,40.66077603,-73.86549817,,
Front,Alive,Good,No,40.70178517,-73.96360949,,
Side,Alive,Poor,Yes,40.67663659,-73.72866885,,
Front,Alive,Good,Yes,40.70514717,-73.95592432,,
Front,Alive,Good,No,40.67167284,-73.97905642,,
Median,Alive,Good,No,40.62326804,-73.90663459,,
Side,Alive,Good,No,40.610903,-74.16485233,,
Assigned,Alive,Fair,No,40.74810078,-73.74601559,,
Front,Alive,Good,No,40.66234479,-73.73981487,,
Across,Alive,Good,No,40.56144147,-74.18033816,,
Front,Alive,Fair,No,40.75293667,-73.97301329,,
Across,Alive,Good,Yes,40.70435191,-73.74875336,,
Side,Alive,Good,No,40.52790077,-74.16683498,,
Across,Alive,Good,No,40.55119332,-74.21107581,,
Across,Alive,Good,Yes,40.62236479,-73.93108623,,
Front,Alive,Good,No,40.5355848,-74.20196005,,
Front,Alive,Good,No,40.82674176,-73.90775213,,
Front,Alive,Good,No,40.80031591,-73.9579335,,
Front,Alive,Good,Yes,40.60570531,-74.00452599,,
Side,Alive,Good,No,40.77114861,-73.74748605,,
Front,Alive,Good,No,40.70901403,-73.79529877,,
Adjacent,Alive,Fair,No,40.58010989,-74.16912954,,
Front,Alive,Good,No,40.71990532,-73.953751,,
Front,Alive,Poor,No,40.75725657,-73.78835163,,
Side,Alive,Fair,Yes,40.79739168,-73.94846159,,
Front,Alive,Good,No,40.55318814,-74.13829892,,
Adjacent,Alive,Fair,No,40.63313734,-74.03714921,,
Median,Alive,Good,No,40.56219963,-74.14812016,,
Assigned,Alive,Good,No,40.62661444,-73.94763994,,
Front,Alive,Fair,Yes,40.66879671,-73.92658719,,
Front,Alive,Fair,No,40.76192343,-73.835254,,
Side,Alive,Good,Yes,40.68657327,-73.94789064,,
Front,Alive,Good,Yes,40.7827245,-73.77429743,,
Side,Alive,Good,No,40.54553262,-74.2193574,,
Front,Alive,Good,No,40.68989829,-73.95163025,,
Front,Alive,Good,No,40.82998784,-73.86681217,,
Front,Alive,Good,No,40.8375143,-73.8896008,,
Front,Alive,Good,No,40.66602741,-73.82790073,,
Adjacent,Alive,Fair,No,40.70865527,-73.74067941,,
Side,Alive,Good,No,40.5369637,-74.20952551,,
Front,Alive,Good,No,40.66106167,-73.98003616,,
Front,Alive,Good,Yes,40.79207972,-73.95176512,,
Front,Alive,Good,No,40.75560018,-73.75314248,,
Front,Alive,Good,Yes,40.62401979,-74.00151842,,
Front,Alive,Good,No,40.68169077,-73.96337235,,
Assigned,Alive,Good,No,40.71123239,-73.96643842,,
Side,Alive,Good,No,40.62865675,-74.11276116,,
Side,Alive,Good,No,40.84205231,-73.94008579,,
Front,Alive,Good,No,40.67398791,-73.87688697,,
Front,Alive,Good,No,40.62465439,-73.96671606,,
Front,Alive,Good,No,40.62324023,-74.1463315,,
Front,Alive,Good,No,40.76303815,-73.76351614,,
Front,Alive,Good,No,40.53670466,-74.16381031,,
Front,Alive,Good,No,40.78435198,-73.95321076,,
Front,Alive,Good,No,40.77372107,-73.92460376,,
Front,Alive,Fair,No,40.88931024,-73.81897457,,
Front,Alive,Good,No,40.57295025,-74.12955672,,
Across,Alive,Good,No,40.68352922,-73.75674168,,
Front,Alive,Good,No,40.74654717,-73.70360415,,
Across,Alive,Good,Yes,40.63818543,-73.9821268,,
Front,Alive,Good,No,40.69201801,-73.91130501,,
Side,Dead,Dead,No,40.71817511,-73.78663968,,
Front,Alive,Good,No,40.82751934,-73.84469675,,
